mode,avg,median,max,min,maxfreq,maxfreq_power,second_maxfreq,second_maxfreq_power
morse,2.79E-17,0.007679875,1.287675187,1.271464122,1060,1737.747559,1531,576.0230713
morse,1.73E-18,0.004498161,1.434987166,1.423293498,1061,1402.401245,1334,995.3817749
morse,1.32E-17,0.003320057,1.404821911,1.40188967,1091,1370.144165,1921,1344.236206
morse,1.15E-17,0.044781336,1.990550721,2.09589351,965,1085.769409,824,774.6400146
morse,1.87E-17,0.025627834,1.247469115,1.257484088,1014,1669.154053,1500,673.5454712
morse,2.48E-17,0.032597508,1.337184661,1.40690079,1053,1589.998901,1326,665.5460205
morse,1.35E-17,0.019316738,1.788451411,1.743517776,1069,840.7659302,1665,830.8027954
morse,1.89E-17,0.038411155,1.432587873,1.469543744,980,1352.205322,1555,703.4812622
morse,2.06E-17,0.027508214,1.340396165,1.386738909,952,1560.491455,1367,955.3452148
morse,7.15E-18,0.021050827,1.427875136,1.414926707,1052,1421.279785,845,967.8355713
morse,1.22E-17,0.045093308,1.524705372,1.569635517,996,1309.583496,709,939.7987061
morse,3.96E-17,0.057589083,1.442204147,1.408210998,1009,1450.216675,1448,689.211792
morse,2.43E-17,0.023846338,1.193666514,1.206725344,1105,1787.590088,214,649.2557373
morse,1.20E-17,0.012167885,1.450532469,1.423873813,993,1533.383423,22,967.4155884
morse,1.50E-17,0.01558758,1.458753093,1.413727146,962,1540.420166,137,599.3001099
morse,7.81E-18,0.046288844,1.521980519,1.548611496,995,1453.625488,1315,551.3631592
morse,1.13E-17,0.006322108,1.400438014,1.397736316,1058,1541.095703,1454,585.8831177
morse,1.39E-17,0.237202867,1.334933581,1.680478559,1025,1584.865112,633,462.4447327
morse,1.87E-17,0.037277217,1.17252614,1.237306413,1037,1249.309326,106,887.803772
morse,2.01E-17,0.058497444,1.473842355,1.4712918,1076,1468.221924,1755,846.2642822
morse,2.19E-17,0.046721598,1.954175676,2.107208566,1042,1080.416992,485,824.6036987
morse,1.39E-17,0.037222228,1.218104571,1.253711019,991,1562.658569,1478,660.6375732
morse,4.35E-17,0.06813171,1.720085502,1.821733306,1014,1209.98645,423,1105.72522
morse,5.59E-17,0.346387135,0.604214872,2.75208437,1026,822.559082,122,813.6209106
morse,2.78E-17,0.008980706,1.524116379,1.510197189,976,1446.509888,1593,545.7300415
morse,4.39E-17,0.001356113,1.231335652,1.241775865,1034,1561.05127,1766,719.052124
morse,7.45E-18,0.003258026,1.703701727,1.701608978,943,898.9476929,1833,850.3953247
morse,5.28E-18,0.074942829,1.687208286,1.67723925,997,1151.696167,1375,1071.711792
morse,3.50E-18,0.013272982,2.352617682,2.312980143,970,855.2614136,1050,845.8782959
morse,1.73E-17,0.058702922,2.450299922,2.4056451,1012,899.7888184,1105,882.2188721
morse,1.54E-17,0.012058759,1.731158894,1.71752178,970,1227.417969,1795,752.7662354
morse,5.52E-18,0.006900423,1.346664665,1.331707136,979,1432.21875,1590,637.5319824
morse,1.27E-17,0.065474673,2.304936928,2.378500735,977,936.4625244,539,707.8412476
morse,2.00E-17,0.014652739,1.210365922,1.212572778,968,1284.679199,1757,861.0357666
morse,4.65E-17,0.007549061,1.228539132,1.252435553,1015,1334.043335,760,984.0292358
morse,1.81E-17,0.056431609,1.788124025,1.810084217,1091,1211.391968,1244,935.4107666
morse,2.33E-17,0.004564639,1.551258897,1.487462436,1101,1194.052246,1661,968.7138062
morse,1.09E-17,0.062921272,2.058235904,2.083957064,962,1006.031738,1889,896.3075562
morse,2.13E-17,0.055410205,1.464832457,1.469746813,969,1493.586182,17,626.5578003
morse,1.54E-17,0.007795107,1.407375453,1.3669724,963,1266.953003,1905,771.7678833
morse,2.87E-17,0.033873628,1.292817564,1.241718563,1041,1606.416748,378,680.9384766
morse,1.25E-17,0.108248384,1.658692363,1.5398427,1013,1317.746582,1368,928.2622681
morse,1.84E-17,0.198114194,1.421280999,1.414989997,962,1517.774658,1824,722.4529419
morse,6.62E-18,0.118276511,2.453069505,2.376904485,1034,897.847168,1740,833.7221069
morse,6.94E-18,0.043601796,1.84371436,1.892312365,1011,1162.672729,1487,721.6444092
morse,2.86E-17,0.584417849,1.218838017,1.26268904,1019,1487.297119,427,729.3366089
morse,1.70E-17,0.029210938,1.640917858,1.585764098,1109,1344.325439,565,1057.108765
morse,2.22E-17,0.057908626,1.63442555,1.616250712,1040,1370.147339,1784,633.4225464
morse,2.39E-17,0.010577435,1.275820168,1.246994941,957,1590.819702,291,562.1662598
morse,2.44E-17,0.004777735,1.256200519,1.209865003,1080,1767.720459,1714,465.6537476
morse,1.37E-17,0.013985128,1.297783412,1.285810781,1058,1479.283203,592,983.7687988
morse,8.21E-18,0.034057024,2.859902825,2.890033574,949,777.3557129,1947,751.1259155
